EDOC-INBOX-2026-01025,app/static/document_uploads/inbox/EDOC-INBOX-2026-01025.pdf,ACA_EVE,Sports Event – “Sports Fiesta”,...,student,all,2026-03-05 12:47:14.972524
EDOC-INBOX-2026-01026,app/static/document_uploads/inbox/EDOC-INBOX-2026-01026.pdf,MEET,Annual Day meeting,dd,hod,all,2026-03-05 14:07:30.9052
EDOC-INBOX-2026-01027,app/static/document_uploads/inbox/EDOC-INBOX-2026-01027.pdf,NOTI,National Scholarship,...,student,all,2026-03-05 14:10:19.877312
EDOC-INBOX-2026-01028,app/static/document_uploads/inbox/EDOC-INBOX-2026-01028.pdf,ACA_DOC,abcdds,abcs,faculty,all,2026-03-05 14:14:49.296047
EDOC-INBOX-2026-01029,app/static/document_uploads/inbox/EDOC-INBOX-2026-01029.pdf,EXA_TBL,First internal,...,all,all,2026-03-05 14:23:09.399548
EDOC-INBOX-2026-01030,app/static/document_uploads/inbox/EDOC-INBOX-2026-01030.pdf,EXA_TBL,pjkj,...,all,all,2026-03-05 14:25:46.541501
EDOC-INBOX-2026-01031,app/static/document_uploads/inbox/EDOC-INBOX-2026-01031.pdf,EXA_TBL,pjkjsfs,...,all,all,2026-03-05 14:27:01.541322
EDOC-INBOX-2026-01032,app/static/document_uploads/inbox/EDOC-INBOX-2026-01032.pdf,NOTI,abcd,mgf,student,all,2026-03-05 14:27:19.397265
EDOC-INBOX-2026-01033,app/static/document_uploads/inbox/EDOC-INBOX-2026-01033.pdf,ACA_EVE,abcd,abcd,all,all,2026-03-05 15:17:26.687643
EDOC-INBOX-2026-01034,app/static/document_uploads/inbox/EDOC-INBOX-2026-01034.pdf,ACA_EVE,abcdsdsd,abcd,all,all,2026-03-05 15:17:37.22643
EDOC-INBOX-2026-01035,app/static/document_uploads/inbox/EDOC-INBOX-2026-01035.pdf,ACA_EVE,abcdsdsd,abcd,all,all,2026-03-05 15:18:04.257391
EDOC-INBOX-2026-01036,app/static/document_uploads/inbox/EDOC-INBOX-2026-01036.pdf,ACA_EVE,4423,abcd,all,all,2026-03-05 15:18:45.615214
EDOC-INBOX-2026-01037,app/static/document_uploads/inbox/EDOC-INBOX-2026-01037.pdf,EXA_TBL,First Internal Exam,..,student,all,2026-03-06 09:45:51.038937
EDOC-INBOX-2026-01038,app/static/document_uploads/inbox/EDOC-INBOX-2026-01038.pdf,ACA_EVE,Cultural Event – “Kala Utsav”,...,all,PG_MSC_MATH,2026-03-06 11:23:03.174806
EDOC-INBOX-2026-01039,app/static/document_uploads/inbox/EDOC-INBOX-2026-01039.pdf,ACA_EVE,Sports Event – “Sports Fiesta”,...,student,all,2026-03-06 11:23:31.895115
